,Artists,Songs,Rating,Votes,Difficulty,Chords
166,eric clapton,tears in heaven,4.75,2676,intermediate,"['F#7', 'C', 'G', 'E7sus4', 'A/E', 'Bm7/E', 'E', 'E7sus', 'D/F#', 'F#m', 'G/B', 'A', 'Em', 'E/G#', 'Bm7', 'Am', 'A7/E', 'C#/E#', 'E7']"
167,taylor swift,everything has changed,4.83,1937,novice,"['Dsus4', 'Em7', 'G', 'D', 'Bm', 'A']"
168,charlie puth,one call away,4.85,3077,,"['C', 'Am', 'G', 'F', 'E7', 'Am7']"
169,david bowie,space oddity,4.88,10455,intermediate,"['D7/F#', 'C', 'Am', 'G', 'E', 'D', 'F', 'Am/G', 'Fm', 'E7', 'Fmaj7', 'C/G', 'A', 'Em', 'Bb']"
170,u2,with or without you,4.75,1868,,"['G', 'Bm', 'A', 'D']"
171,ed sheeran,lego house,4.72,940,novice,"['G', 'C', 'D', 'G/B', 'Em']"
172,metallica,nothing else matters,4.67,1161,,"['C', 'G', 'D', 'B7', 'A', 'Em']"
173,america,a horse with no name,4.74,3175,,"['Dmaj9', 'Em', 'Em9', 'D6/9']"
174,adele,make you feel my love,4.85,4048,intermediate,"['Baug', 'G', 'C', 'G7', 'D7', 'F', 'A7sus4', 'D/F#', 'B7', 'A7', 'Am7', 'G/B', 'Em', 'Cm']"
175,ed sheeran,happier,4.89,5245,novice,"['F', 'Am7', 'C']"
176,christina perri,a thousand years,4.81,2651,novice,"['Em7', 'Dsus4', 'G', 'D', 'A7sus4', 'D/F#', 'Cadd9']"
177,ed sheeran,photograph,4.88,2827,novice,"['C', 'Am', 'G', 'F']"
178,bruno mars,count on me,4.85,3649,,"['C', 'Am', 'G', 'F', 'Dm', 'Em']"
179,ed sheeran,castle on the hill,4.82,1961,novice,"['G', 'D', 'Bm7#5', 'A7sus4', 'Bm', 'D/F#', 'A']"
180,calum scott,dancing on my own,4.83,4313,novice,"['C', 'F', 'Am', 'G']"
181,eagles,take it easy,4.81,5536,novice,"['D7sus4/G', 'Am7/G', 'G', 'C', 'Am', 'D', 'G7', 'Em']"
182,passenger,let her go,4.78,1224,novice,"['Dsus4', 'C', 'G', 'D', 'Bm', 'Em']"
183,poison,every rose has its thorn,4.81,2948,,"['G', 'C', 'D', 'Cadd9', 'Em']"
184,chris isaak,wicked game,4.85,5131,,"['Bm', 'A', 'E']"
185,bob marley,three little birds,4.78,3234,,"['A', 'E', 'D']"
186,green day,wake me up when september ends,4.62,708,,"['Em7', 'G', 'C', 'D', 'G/F#', 'Bm', 'D/F#', 'Cadd9', 'Em', 'Cm']"
187,joseph vincent,cant take my eyes off you,4.82,1744,intermediate,"['C', 'G', 'Bb7', 'Gm7', 'B7', 'Fm7', 'Em7', 'D', 'C7', 'Am7', 'Em', 'Bm7', 'G7', 'Dm7', 'Cmaj7', 'D7sus4', 'F', 'F#m7', 'Dmaj7', 'A7']"
188,miley cyrus,the climb,4.49,435,,"['B', 'E', 'C#m', 'F#m', 'G#m', 'A']"
189,taylor swift,we are never ever getting back together,4.75,771,novice,"['Em7', 'G', 'D', 'D/F#', 'Cadd9']"
190,christina perri,a thousand years,4.71,1724,novice,"['G', 'Am', 'D', 'Cadd9', 'Em']"
191,the beatles,across the universe,4.84,2900,novice,"['Em7', 'G', 'D', 'Gm', 'A7sus4', 'Bm', 'F#m', 'A7', 'A']"
192,virgoun,surat cinta untuk starla,4.86,373,,"['C', 'G', 'Am', 'E', 'D', 'G7', 'F#', 'Bm', 'F#m', 'A', 'Em']"
193,natalie imbruglia,torn,4.77,898,,"['C', 'Am', 'Gm', 'F', 'Dm', 'Bb']"
