,Artists,Songs,Rating,Votes,Difficulty,Chords
652,neil young,unplugged,4.62,17,,"['G', 'C', 'A/D', 'Gm', 'Bm', 'Fm7', 'Em7', 'E', 'D', 'A', 'Em', 'Bb', 'Bm7', 'Am', 'H', 'Dm7', 'Dsus4', 'F', 'Dm', 'Esus4', 'Dmaj7', 'Dm/G']"
653,milow,ayo technology,4.60,146,novice,"['C', 'Em', 'Dsus2']"
654,the band perry,if i die young,4.74,1160,novice,"['G', 'D6add9/A', 'A', 'D']"
655,passenger,let her go,4.73,346,intermediate,"['C', 'Am', 'G', 'F', 'Em']"
656,smash mouth,all star,4.75,1610,,"['C#dim', 'G', 'Am', 'C', 'D', 'F']"
657,mark ronson,uptown funk,4.42,289,,"['G', 'Am', 'C', 'D', 'Dm', 'F']"
658,the beatles,if i fell,4.84,1205,,"['Em7', 'D9', 'G', 'D', 'Gm', 'Bbm', 'F#m', 'Fdim7', 'A7', 'Ebm', 'A', 'Em', 'Db']"
659,paramore,misery business,4.81,616,,"['C2', 'G', 'C', 'D', 'Em']"
660,misc soundtrack,the greatest showman rewrite the stars,4.82,841,novice,"['G', 'C', 'D', 'Bm', 'D/F#', 'Em']"
661,zz top,beer drinkers and hell raisers,4.09,23,,"['A6', 'Em7', 'A5', 'E', 'D', 'B6', 'B5']"
662,x,los angeles,4.46,15,,"['C', 'G', 'E', 'D', 'A', 'Bb']"
663,guns n roses,dont cry,4.81,1369,novice,"['Gb', 'C', 'Am', 'G', 'E', 'Dm', 'F', 'G/B', 'Ab', 'Eb', 'Db', 'Bb']"
664,justin bieber,boyfriend,4.52,238,novice,"['C', 'Am', 'G', 'Dm', 'Em']"
665,rachel platten,fight song,4.82,1536,novice,"['Em7', 'G', 'D', 'Cadd9', 'G/B', 'Em']"
666,ween,roses are free,3.77,4,,"['G', 'G#', 'F', 'A#', 'A']"
667,tom petty,free fallin,4.77,1786,novice,"['G5', 'Asus4', 'D5', 'A5', 'Gsus2', 'D', 'Asus']"
668,katy perry,teenage dream,4.55,291,,"['Cmaj7', 'E', 'D', 'Dmaj7', 'F#m', 'Em']"
669,matt nathanson,come on get higher,4.85,708,novice,"['Em7', 'G', 'D', 'Cadd9', 'Csus']"
670,of monsters and men,dirty paws,4.87,1366,,"['C', 'Am', 'G', 'Fmaj7', 'G/B']"
671,maroon 5,wont go home without you,4.80,672,,"['D7/F#', 'C', 'C/B', 'Am', 'G', 'Dm', 'F', 'Eb', 'Bb']"
672,elton john,your song,4.84,1454,intermediate,"['Asus4', 'Dsus4', 'D/A', 'G', 'G/D', 'A/D', 'D', 'G6', 'F#', 'A/C#', 'Bm', 'D/F#', 'F#m', 'Bm/A', 'A', 'Em', 'Gmaj7', 'Bm/G#']"
673,the beatles,yesterday,4.79,919,,"['Dm7', 'Em7', 'C', 'G7', 'A7add11', 'F', 'Dm', 'C7', 'A7', 'Bb']"
674,justin bieber,as long as you love me,4.58,323,intermediate,"['F', 'Am', 'G', 'G/D']"
675,one direction,history,4.83,612,,"['C', 'Gm', 'F', 'Dm', 'Cm7', 'C7', 'A7', 'Bb']"
676,xtc,ball and chain,"0,&q",0,,"['G5', 'C', 'D', 'F', 'C7sus4', 'Bb']"
677,lynyrd skynyrd,free bird,4.69,839,,"['Dsus4', 'G', 'C', 'D', 'F', 'D/F#', 'Em', 'Bb']"
678,john mayer,free fallin,4.71,319,novice,"['B', 'A', 'E']"
679,dewa 19,risalah hati,4.81,65,novice,"['Ab', 'G', 'Am', 'C', 'E', 'Gm', 'D', 'F', 'Dm', 'Fm', 'A', 'Em', 'Eb', 'Cm', 'Bb']"
680,chris tomlin,shout to the lord,4.76,998,intermediate,"['G', 'C', 'F6', 'C/E', 'D', 'F', 'Em']"
681,x,the hungry wolf,4.73,3,,"['C', 'B', 'G', 'E', 'D']"
682,chris tomlin,amazing grace my chains are gone,4.83,1282,novice,"['G', 'D', 'Cadd9', 'Am7', 'G/B']"
683,lynyrd skynyrd,sweet home alabama,4.74,805,novice,"['G', 'C', 'D', 'F', 'Cadd9']"
684,zac brown band,colder weather,4.84,2011,novice,"['Gadd9', 'G', 'F#7', 'D', 'Bm', 'D/F#', 'A', 'Em']"
685,adele,skyfall,4.45,174,intermediate,"['Cm/D#', 'Cm7/D#', 'G', 'F', 'Bm', 'Gsus4', 'Ab', 'Cm', 'Bb']"
686,the wallflowers,the difference,3.54,7,,"['C#', 'B', 'G#', 'E', 'F#', 'A']"
687,jack johnson,upside down,4.81,915,intermediate,"['B', 'E', 'F#m', 'G#m', 'A']"
688,the fray,you found me,4.52,130,,"['B', 'E', 'F#', 'G#m']"
689,misc soundtrack,the greatest showman this is me,4.81,1223,,"['G', 'Bm', 'A', 'D']"
690,december avenue,sa ngalan ng pag ibig,4.82,220,,"['Bm7', 'Em7', 'Asus4', 'Dsus2/A', 'D/F#', 'Cadd9', 'Csus2', 'Gmaj7', 'Bbmaj7']"
691,bee gees,how deep is your love,4.62,149,novice,"['Asus4', 'Gm6', 'G', 'Am', 'D', 'Gm', 'Em6', 'Dmaj7', 'F#m', 'B7', 'Gmaj7', 'Em']"
692,the beatles,blackbird,4.70,423,,"['C#dim', 'Em/Eb', 'G', 'C', 'D#dim', 'C/E', 'D', 'D7sus4', 'D7', 'F', 'Dm', 'A7', 'Am7', 'G/B', 'Em', 'Cm', 'Bb6']"
693,keane,somewhere only we know,4.86,2418,,"['Esus', 'E', 'D', 'A/C#', 'Bm', 'C#m', 'F#m', 'A', 'Amaj7']"
694,ralph mctell,streets of london,4.80,1644,,"['D7/F#', 'C', 'Am', 'G', 'Dm/F', 'G7', 'F/C', 'F', 'Am/G', 'C/G', 'G/B', 'Em']"
695,radiohead,fake plastic trees,4.88,2316,,"['Asus4', 'Dmaj9/F#', 'E6', 'Dsus2/B', 'Bm7add11', 'Dsus2', 'A', 'Amaj7']"
696,pnk,dear mr president,4.82,865,novice,"['Am/B', 'G', 'C', 'Am', 'D', 'Am7', 'A', 'Em']"
697,khalid,young dumb and broke,4.83,674,novice,"['F', 'C', 'Dm']"
698,the head and the heart,rivers and roads,4.88,2603,novice,"['C', 'Am', 'F']"
699,colbie caillat,bubbly,4.72,868,novice,"['E', 'D', 'Bm', 'C#m', 'A', 'Amaj7']"
700,misc christmas,joy to the world,4.72,653,,"['G', 'C', 'D']"
701,radiohead,exit music for a film,4.89,1222,,"['D7/F#', 'Asus4', 'Asus2', 'Dadd9/F', 'Am/C', 'Am', 'B', 'E', 'Gmadd11', 'Dadd9/F#', 'Esus4', 'F', 'B7', 'C/G', 'A', 'Bb']"
702,bob dylan,mr tambourine man,4.83,2014,intermediate,"['Dsus2', 'A', 'D', 'G']"
703,george ezra,budapest,4.80,1188,,"['G', 'C', 'D']"
704,angus julia stone,big jet plane,4.85,1760,novice,"['C', 'Am', 'G', 'G6', 'Fmaj7', 'Em']"
705,birdy,skinny love,4.85,928,,"['E', 'C#m', 'F#m', 'G#m', 'A']"
706,tab,594514,4.76,310,,"['D/A', 'C#m7', 'C', 'Am', 'G', 'E', 'D', 'G#', 'F#', 'F', 'D/F#', 'E7', 'F#m', 'A', 'E/G#']"
707,vance joy,riptide,4.77,2395,novice,"['Dadd9', 'C', 'G', 'D', 'Em']"
708,adele,skyfall,4.81,1156,intermediate,"['F/E', 'Esus', 'Bb7b5', 'Asus2/C', 'Am', 'E', 'D', 'E/C', 'F', 'Dm', 'Am/G', 'Esus/B', 'Dm7/A', 'E5/A', 'D/C', 'Bm7b5']"
709,the black eyed peas,i gotta feeling,4.82,323,,"['Em7', 'G', 'C', 'C/B', 'G6/B', 'Csus2', 'Gsus4', 'Em']"
710,naif,benci untuk mencinta,4.87,198,,"['C#', 'G', 'C', 'Gm', 'D', 'F#', 'D7', 'Em/D#', 'Bm', 'D/C#', 'Dmaj7', 'F#m', 'D/C', 'A7', 'D/B', 'A', 'Em']"
711,pink floyd,mother,4.80,723,novice,"['G', 'C', 'D', 'F']"
712,milky chance,stolen dance,4.85,1025,novice,"['C', 'G', 'D', 'B7', 'Em']"
713,jessie j,price tag,4.53,71,intermediate,"['G', 'Bm', 'D', 'F#m']"
714,sam smith,lay me down,4.65,76,intermediate,"['B', 'E', 'D', 'Bm', 'C#m', 'F#m', 'G#m', 'A']"
715,bruno mars,locked out of heaven,4.74,398,novice,"['C', 'Gm', 'F', 'Dm', 'A', 'Bb']"
716,katy perry,i kissed a girl,4.79,621,novice,"['C', 'Am', 'E/A', 'E', 'G', 'F/A', 'Dm', 'F', 'Dm/A', 'Am7', 'Em']"
717,yeng constantino,hawak kamay,4.63,98,intermediate,"['Em7', 'G', 'C', 'Am', 'D', 'Bm', 'Cadd9']"
718,katy perry,the one that got away,4.83,677,novice,"['C', 'Am', 'G', 'F', 'Dm', 'Em']"
719,one direction,one thing,4.45,42,,"['G', 'Bm', 'A', 'D']"
720,the chainsmokers,dont let me down,4.83,508,,"['A', 'E', 'D', 'F#m']"
721,maroon 5,payphone,4.82,736,,"['Em7', 'Dsus4', 'G', 'B', 'E', 'D', 'Cadd9', 'A']"
722,james taylor,fire and rain,4.81,2984,intermediate,"['Asus2', 'G', 'E', 'D', 'Bm', 'A7', 'A', 'Em']"
723,one direction,what makes you beautiful,4.67,428,novice,"['C', 'F', 'Am', 'G']"
724,the beatles,here comes the sun,4.76,332,intermediate,"['G', 'C', 'D', 'F', 'A7sus4', 'E7', 'A7', 'G/B']"
725,j r a ,by chance you and i,4.82,190,,"['G', 'Am', 'D', 'C']"
726,keane,everybodys changing,4.84,1142,,"['Dm7', 'Asus2', 'C', 'Cmaj7', 'G', 'Am', 'F(b5)', 'G7', 'C4', 'F6', 'F', 'Dm', 'Fmaj7', 'A', 'Em', 'Dm6']"
727,the kooks,seaside,4.85,1225,,"['C', 'G', 'Dm', 'F', 'G/F', 'Bb']"
728,ed sheeran,give me love,4.84,400,novice,"['C', 'Am', 'G', 'D', 'Em', 'Ab']"
729,lukas graham,love someone,4.85,1914,,"['C', 'Am', 'G', 'F', 'Dm', 'Em', 'Gadd11']"
730,misc soundtrack,the sound of music edelweiss,4.86,2533,,"['F6/9', 'G', 'C', 'C/E', 'D', 'D7', 'A7', 'Am7', 'Em', 'Cm/Eb']"
731,fourtwnty,aku tenang,4.84,160,novice,"['G', 'C', 'Am', 'D', 'Bm', 'Em']"
732,red hot chili peppers,dani california,4.79,1165,novice,"['G', 'Am', 'C', 'D', 'F#', 'Dm', 'F', 'Bm', 'E7']"
733,christina perri,jar of hearts,4.82,1176,novice,"['G', 'Am', 'C', 'E', 'D', 'F', 'Fm', 'Dm']"
734,the police,every breath you take,4.78,1426,intermediate,"['G', 'C', 'B', 'E', 'D', 'F#', 'F', 'C#m', 'A7', 'A', 'Em', 'Eb']"
735,the killers,human,4.87,961,,"['E', 'D', 'Bm', 'C#m', 'Fdim', 'F#m', 'A']"
736,lou reed,perfect day,4.85,1627,,"['G', 'Am', 'C', 'E', 'D', 'F', 'Dm', 'C#m', 'D/C#', 'F#m', 'D/B', 'A']"
737,avicii,hey brother,4.84,1689,,"['C', 'G', 'D', 'G6', 'D/F#', 'Em']"
738,dewa 19,pupus,4.78,213,novice,"['G', 'C', 'C/B', 'C/E', 'D', 'E', 'F#', 'D/F#', 'Am7', 'A', 'G/E', 'Am', 'Cmaj', 'G/D', 'B', 'G/F#', 'A/C#', 'C/A', 'Dsus4', 'Cmaj7', 'F', 'Cm']"
739,metallica,nothing else matters,4.83,3032,novice,"['C', 'Am', 'G', 'D', 'B7', 'A', 'Em']"
740,goo goo dolls,iris,4.82,1551,,"['Dsus4', 'Em7', 'G', 'A7sus4', 'Cadd9']"
741,green day,american idiot,4.64,679,,"['G', 'E', 'D', 'A', 'Bb']"
742,rascal flatts,what hurts the most,4.79,695,intermediate,"['Em7', 'Dsus4', 'C', 'G', 'D', 'Cadd9', 'Em', 'D#m']"
743,coldplay,green eyes,4.86,2032,,"['Bm7', 'G', 'E', 'D', 'Bm', 'A']"
744,shawn mendes,theres nothing holdin me back,4.69,419,novice,"['G', 'Bm', 'A', 'D']"
745,pnk,try,4.78,551,novice,"['G', 'Am', 'C', 'D', 'F', 'Bm', 'A']"
746,justin bieber,what do you mean,4.80,561,,"['G', 'D', 'Em', 'Cadd9']"
747,eagles,peaceful easy feeling,4.79,3110,,"['Dsus4', 'G', 'D', 'A7', 'Em']"
748,moira dela torre,ikaw at ako,4.89,342,novice,"['C/B', 'C', 'G', 'Am', 'Fmaj7']"
749,the mamas the papas,california dreamin,4.77,2024,,"['G', 'Am', 'C', 'E', 'E7sus4', 'F', 'Esus4', 'E7']"
750,jireh lim,magkabilang mundo,4.42,36,intermediate,"['Dsus4', 'Em7', 'G', 'C9', 'Am', 'Cm']"
751,sam smith,latch,4.86,886,,"['G', 'A7sus4', 'Em7', 'Cadd9']"
752,swedish house mafia,dont you worry child,4.40,112,novice,"['G', 'Bm', 'A', 'D']"
753,james morrison,you give me something,4.66,291,intermediate,"['EbM7', 'Dm7', 'Em7', 'C', 'G', 'Am', 'G7', 'Fm', 'F', 'D/F#', 'Em', 'Am7', 'Ab', 'Bb']"
754,the beatles,i saw her standing there,4.83,1145,intermediate,"['E7/G#', 'Am/C', 'Am', 'E', 'E9', 'E7', 'B7', 'A7', 'A']"
755,garth brooks,friends in low places,4.63,340,,"['G#dim7', 'G', 'Am', 'D', 'D7', 'Am7', 'Cm']"
756,amy winehouse,you know im no good,4.89,356,,"['Am', 'Gm', 'Dm', 'F', 'E7', 'A7']"
757,virgoun,bukti,4.79,219,novice,"['G', 'Am', 'C', 'Dm/F', 'D', 'E', 'F', 'D/F#', 'G/B', 'Em']"
758,the beatles,twist and shout,4.78,169,novice,"['D9', 'C#', 'G', 'B', 'C', 'D', 'A7', 'A', 'Bb']"
759,julia michaels,issues,4.83,1322,novice,"['C', 'Em', 'D', 'G']"
760,ali gatie,its you,4.84,849,novice,"['F', 'Am', 'C', 'G']"
761,michael jackson,heal the world,4.59,278,,"['Bm7', 'C#m7', 'G', 'B', 'C#', 'E', 'D', 'Bm7/E', 'F#', 'D#m7', 'G#', 'Fm', 'C#m', 'A#m', 'F#m', 'G#m', 'A', 'D#m']"
762,imagine dragons,its time,4.84,1039,novice,"['G', 'D', 'Bm', 'A', 'Em']"
763,colbie caillat,bubbly,3.92,60,,"['E', 'D', 'C#m', 'A', 'Amaj7']"
764,sia,chandelier,4.56,168,novice,"['G', 'Am', 'C/E', 'F', 'Em']"
765,misc christmas,o holy night,4.76,831,intermediate,"['C', 'Am', 'G7', 'F', 'Dm', 'B7', 'Em']"
766,kari jobe,revelation song,4.88,1127,novice,"['C', 'Am', 'G', 'D', 'F']"
767,bob marley,is this love,4.71,482,,"['E', 'D', 'Bm', 'C#m', 'Dmaj7', 'F#m', 'A']"
768,pink floyd,time,4.79,1539,novice,"['Bm7', 'Em7', 'C#m7', 'C', 'G', 'E', 'F/B', 'D7', 'Bm', 'Dmaj7', 'F#m', 'Em', 'Fmaj7', 'A', 'Amaj7']"
769,john denver,annies song,4.76,995,,"['Dsus4', 'G', 'D', 'Bm', 'D/C#', 'F#m', 'A7', 'A', 'Em']"
770,elvis presley,cant help falling in love,4.85,1212,,"['C#7', 'D/A', 'G', 'B', 'D', 'Bm', 'F#m', 'F#m/C#', 'Bm/A', 'A', 'Em']"
771,foo fighters,everlong,4.79,746,novice,"['G5', 'D5', 'Bsus2', 'A5', 'Gsus2', 'D', 'Dmaj7', 'B5', 'A']"
772,i belong to the zoo,sana,4.77,379,novice,"['Em7', 'G', 'Am', 'Dsus4/F#', 'Bm', 'Dsus2', 'Cadd9']"
773,jesus culture,your love never fails,4.73,327,,"['C', 'Am', 'G', 'D', 'Em']"
774,shawn mendes,stitches,4.81,2606,novice,"['G', 'Am', 'C', 'F', 'Em']"
775,maroon 5,sunday morning,4.86,1887,intermediate,"['C', 'Dm7', 'G7']"
776,rascal flatts,bless the broken road,4.70,267,,"['C', 'Am', 'G', 'F']"
777,my chemical romance,welcome to the black parade,4.63,581,novice,"['G', 'C', 'Am', 'B', 'D', 'E', 'D/F#', 'F#m', 'A', 'G/B', 'Em', 'Cm', 'E/G#']"
778,neil young,old man,4.67,1036,,"['FM7', 'Dsus4', 'Em7', 'D9', 'C', 'G', 'D', 'F', 'D/F#', 'Am7']"
779,acdc,back in black,4.19,368,,"['G', 'B', 'C', 'E', 'D', 'A/C#', 'A']"
780,the kooks,she moves in her own way,4.79,817,,"['G', 'C', 'Am', 'D', 'Bm', 'Em']"
781,guns n roses,patience,4.64,426,novice,"['Dsus4', 'C', 'G', 'D', 'F', 'Dsus2', 'A', 'Em']"
782,coldplay,a sky full of stars,4.79,1364,novice,"['G', 'Am', 'C', 'F', 'Em']"
783,michael jackson,billie jean,4.58,101,,"['F#m/E', 'C', 'G/D', 'B7', 'Am7', 'Em']"
784,taylor swift,mine,4.73,376,novice,"['C', 'Em', 'D', 'G']"
785,the chainsmokers,something just like this,4.81,473,novice,"['G', 'D', 'Bm', 'D/F#', 'Dmaj7', 'Bsus4', 'A']"
786,mcfly,all about you,4.85,783,,"['C', 'Am', 'G', 'E', 'D7', 'Dm', 'F', 'C7', 'Fm']"
787,blink 182,all the small things,4.67,831,,"['C', 'F', 'G']"
788,charlie puth,attention,4.88,443,novice,"['Dm', 'C', 'Am', 'Bb']"
789,weezer,say it aint so,4.65,499,intermediate,"['G', 'Am', 'C', 'E', 'G/F#', 'F', 'Eb']"
790,bee gees,how deep is your love,4.88,988,advanced,"['Bm7', 'Em7', 'G/A', 'Gm6', 'F#7', 'C9', 'D', 'G6', 'F#m7', 'Am6', 'Dmaj7', 'B7', 'A7', 'Gmaj7']"
791,amy winehouse,valerie,4.57,298,,"['B', 'F#m7', 'Emaj7', 'G#m', 'Amaj7']"
792,sam smith,im not the only one,4.87,817,novice,"['F7', 'C', 'Am', 'G', 'E']"
793,jimi hendrix,all along the watchtower,4.73,664,,"['Ab', 'Cm', 'Bb']"
794,miley cyrus,wrecking ball,4.71,1099,novice,"['G', 'D', 'Bm', 'F#m', 'A']"
795,chris tomlin,our god,4.83,689,novice,"['C', 'Am', 'G', 'D', 'D/F#', 'G/B', 'Em']"
796,join the club,nobela,4.81,85,intermediate,"['G', 'C', 'Gm', 'Bm', 'Eb', 'E', 'D', 'D7', 'F#m', 'A', 'Ab', 'Bb', 'Bm9', 'B', 'Am', 'G#m', 'Db', 'Gb', 'GM7', 'C#m', 'DM7']"
797,the lumineers,stubborn love,4.82,795,,"['C', 'Em', 'D', 'G']"
798,all time low,remembering sunday,4.87,1073,novice,"['Cmaj7', 'G', 'D', 'Dsus2', 'Cadd9', 'A7', 'Em']"
799,bob dylan,the times they are a changin,4.77,366,intermediate,"['D/A', 'G', 'C', 'Am', 'D', 'Cadd9', 'G/B', 'Em']"
800,blink 182,i miss you,4.71,721,novice,"['C2', 'G', 'D', 'D/F#', 'Em']"
801,billie eilish,bellyache,4.86,2424,novice,"['Em/B', 'C', 'Am', 'E', 'C/G', 'Em']"
802,the cure,just like heaven,4.89,1857,,"['G', 'E', 'D', 'Bm', 'F#m', 'A']"
803,rihanna,love on the brain,4.87,1396,,"['G', 'Am', 'C', 'D', 'F', 'Em']"
804,backstreet boys,i want it that way,4.72,332,,"['C#', 'B', 'E', 'D', 'F#', 'F#m', 'G#m', 'A']"
805,alt j,breezeblocks,4.76,1668,novice,"['Am/C', 'A5', 'C', 'Am', 'E', 'D', 'F', 'Am/E', 'Em']"
806,the red jumpsuit apparatus,your guardian angel,3.94,27,intermediate,"['C', 'C/E', 'F', 'Dm', 'Bb']"
807,celine dion,beauty and the beast,4.69,587,,"['Bm7', 'C', 'Am', 'G', 'B', 'D', 'E', 'F', 'Bm', 'E7', 'F#m', 'A', 'Em', 'Bb']"
808,leonard cohen,hallelujah,4.83,2468,novice,"['C', 'Am', 'G', 'E', 'F']"
809,the rolling stones,angie,4.73,400,,"['C', 'G', 'C/G', 'A5', 'E5', 'Am7', 'Gsus4/B', 'Am', 'Gsus4', 'Dm9', 'Am9', 'Dm7', 'Fsus4', 'F', 'Dm', 'Csus4', 'E7', 'Dsus2', 'Cadd4']"
810,david cook,always be my baby,4.71,146,novice,"['G', 'C9', 'Am', 'C', 'D', 'B', 'A', 'Em']"
811,andmesh kamaleng,cinta luar biasa,4.83,133,intermediate,"['Asus2', 'B', 'E', 'D', 'B/D#', 'A/C#', 'Bm/F#', 'F#', 'Bm', 'C#m', 'Dsus2', 'F#m', 'G#m', 'A', 'F#/A#', 'E/G#']"
812,limp bizkit,behind blue eyes,4.85,1485,,"['Asus2', 'G', 'E', 'G6', 'D', 'Esus4', 'Bm', 'Dsus2', 'Cadd9', 'Em']"
813,eraserheads,magasin,4.78,218,,"['C', 'Am', 'E', 'F', 'Fm', 'E/Ab']"
814,rex orange county,best friend,4.88,1782,novice,"['A6', 'B', 'G#', 'E', 'Am', 'E7', 'A', 'Amaj7']"
815,cee lo green,forget you,4.68,347,,"['C', 'Am', 'G', 'D7', 'F', 'Dm', 'Em']"
816,tom petty,i wont back down,4.81,2049,,"['G', 'C', 'Em', 'D']"
817,avril lavigne,when youre gone,4.86,525,,"['C', 'G', 'Am', 'D', 'A/C#', 'Bm', 'D/F#', 'B7', 'G/B', 'Em']"
818,frank sinatra,my way,4.77,649,,"['Dm7', 'Em7', 'C', 'Am', 'C/B', 'G', 'Gm', 'G7', 'Dm', 'C7', 'F', 'Fm', 'A7', 'A', 'Em', 'Bb']"
819,fleetwood mac,go your own way,4.78,904,,"['F', 'C', 'Dm', 'Bb']"
820,the rolling stones,you cant always get what you want,4.73,700,,"['Gadd9', 'G', 'C', 'D', 'A']"
821,lana del rey,born to die,4.85,759,,"['G', 'B', 'C', 'E', 'D', 'Cmaj7', 'F#', 'A', 'Em']"
822,u2,i still havent found what im looking for,4.79,1524,,"['Fsus2', 'C', 'G', 'F', 'Csus4']"
823,john lennon,jealous guy,4.79,1073,,"['D6', 'Em7', 'Dsus4', 'Em7/D', 'G', 'C', 'Dm/F', 'D', 'Em6', 'D7', 'G/F#', 'Em', 'Bb']"
824,led zeppelin,stairway to heaven,4.30,134,,"['Em/D', 'Dsus4', 'Cmaj7/G#', 'G', 'Am', 'C', 'D', 'D/F#', 'Fmaj7', 'C/G', 'C/D', 'Am7', 'G/B']"
825,the shins,new slang,4.86,1470,,"['C', 'Am', 'G', 'F']"
826,hillsong live,christ is enough,4.83,611,,"['C', 'G', 'D', 'D/F#', 'Em']"
827,nina simone,feeling good,4.60,92,novice,"['Gm6', 'Bb', 'Am', 'C/E', 'D', 'Gm', 'Eb7', 'D7', 'C7', 'F', 'Gm/F', 'A7', 'Eb/G', 'Eb', 'Cm', 'Gm/D']"
828,kid rock,picture,4.72,1248,,"['G', 'C', 'Em', 'D']"
829,ron pope,a drop in the ocean,4.80,201,novice,"['C', 'Am', 'G', 'D', 'Em']"
830,clean bandit,rather be,4.68,567,,"['C', 'Am', 'G', 'D', 'Bm', 'D/F#', 'Em']"
831,moira dela torre,tagpuan,4.85,373,novice,"['Bm7', 'G', 'D', 'Cadd9', 'Am7', 'Cm']"
832,taylor swift,ours,4.88,352,,"['C', 'Am', 'G', 'F', 'G/B']"
833,onerepublic,stop and stare,4.87,967,,"['C', 'Am', 'G', 'F', 'Em']"
834,bob dylan,blowin in the wind,4.80,1171,novice,"['G', 'Bm', 'A', 'D']"
835,justin bieber,mistletoe,4.80,488,,"['G', 'Em7', 'Dsus4', 'Cadd9']"
836,the proclaimers,im gonna be 500 miles,4.72,572,,"['B', 'E', 'C#m', 'F#m', 'A']"
837,avril lavigne,keep holding on,4.83,492,novice,"['G', 'C', 'Am', 'D', 'Em']"
838,bruno mars,versace on the floor,4.85,535,intermediate,"['G', 'Gm', 'Bm', 'Eb', 'Em7', 'Aadd9', 'D', 'E', 'F#m', 'Am7', 'A', 'Ab', 'Em', 'Bb', 'Bm7', 'A6', 'Asus4', 'B', 'Am', 'Fm', 'Gmaj7', 'Db', 'F#m7', 'Cm']"
839,hootie the blowfish,let her cry,4.82,1305,,"['G', 'C', 'Em', 'D']"
840,zac brown band,toes,4.81,1379,novice,"['A', 'E', 'D']"
841,christina aguilera,hurt,4.68,120,intermediate,"['C', 'Am', 'B', 'B/D#', 'D', 'E', 'A/C#', 'Em']"
842,aj rafael,we could happen,4.88,213,novice,"['G', 'C', 'D', 'G7', 'Dm', 'Bm', 'A7', 'Am7', 'Em', 'Cm']"
843,tab,745630,4.82,998,novice,"['C', 'G', 'Am', 'D', 'Am7', 'Em']"
844,jimmy bondoc,let me be the one,4.57,79,,"['C#', 'C', 'B', 'E', 'D', 'A/C#', 'F', 'Bm', 'C#m', 'Esus4', 'B7', 'F#m', 'A']"
845,michael dutchi libranda,binalewala,4.86,194,novice,"['Em7', 'G', 'Dsus', 'Cadd9', 'G/B']"
846,taylor swift,last kiss,4.84,809,novice,"['Em7', 'G', 'C', 'D', 'Cadd9']"
847,christina perri,human,4.87,1344,novice,"['G', 'Em7', 'Dsus4', 'Cadd9']"
848,queen,i want to break free,4.82,938,,"['F#sus4', 'B', 'E', 'F#', 'C#m', 'E5', 'A']"
849,taylor swift,blank space,4.81,454,,"['C', 'Am', 'G', 'Dm', 'F']"
850,snow patrol,run,4.64,388,,"['G', 'Am', 'C', 'F']"
851,howie day,collide,4.81,1539,,"['G', 'C', 'Em', 'D']"
852,arctic monkeys,fluorescent adolescent,4.89,947,intermediate,"['B', 'E', 'C#m', 'F#m', 'G#m', 'A']"
853,sufian suhaimi,di matamu,4.83,97,novice,"['G', 'Am', 'E', 'Dm', 'F']"
854,stevie wonder,isnt she lovely,4.78,202,,"['C#m7', 'E', 'G#7#5', 'F#9', 'Amaj7', 'F#13', 'A/B']"
855,rod stewart,i dont want to talk about it,4.79,311,novice,"['G', 'Am', 'C', 'D', 'D/F#', 'Em']"
856,oasis,whatever,4.86,477,,"['Dsus4', 'Em7', 'G', 'E', 'F#', 'A7sus4', 'Dsus4/F#', 'Cadd9', 'A2', 'B5']"
857,amy macdonald,this is the life,4.83,1327,novice,"['F', 'Am', 'Em', 'C']"
858,nirvana,heart shaped box,4.74,813,,"['D5', 'A5', 'Am', 'D', 'F', 'D(7)', 'A', 'F5']"
859,louis armstrong,la vie en rose,4.79,231,novice,"['Em7', 'G', 'D', 'F#m7', 'A7', 'Em']"
860,america,sister golden hair,4.77,1659,,"['G', 'Am', 'C', 'F', 'Dm', 'Csus4', 'Em']"
861,meghan trainor,just a friend to you,4.85,307,novice,"['C', 'Am', 'G', 'E/B', 'A/C#', 'Dm', 'F']"
862,coldplay,green eyes,4.80,347,,"['Dsus4', 'G', 'Am', 'C/B', 'C', 'D', 'F', 'D/F#', 'C/G']"
863,arctic monkeys,cornerstone,4.92,1145,novice,"['E6', 'E', 'D', 'Dm', 'Bm', 'C#m', 'F#m', 'A']"
864,weezer,island in the sun,4.86,1943,intermediate,"['G', 'Am', 'C', 'D', 'Em']"
865,regina spektor,the call,4.87,1281,novice,"['G', 'C', 'D', 'D7', 'Em']"
866,leonard cohen,hallelujah,4.69,312,,"['C', 'C/B', 'G', 'Am', 'E', 'F']"
867,justin timberlake,cry me a river,4.53,300,novice,"['C', 'B', 'Em', 'Am']"
868,robbie williams,angels,4.68,483,,"['B', 'E', 'D', 'Bm', 'C#m', 'F#m', 'G#m', 'A']"
869,adam levine,lost stars,4.88,1785,intermediate,"['G', 'C', 'D', 'Dm', 'F', 'Fmaj7', 'Gsus4', 'Em']"
870,the lumineers,stubborn love,4.87,1416,novice,"['C', 'Am', 'G', 'Fmaj7', 'C/G', 'Cadd4']"
871,kings of leon,use somebody,4.81,684,,"['C', 'F', 'Em', 'Am']"
872,hillsongs,the stand,4.84,416,novice,"['Bm7', 'E', 'D', 'A/C#', 'Bm', 'F#m', 'A']"
